log_id,date_time,country,Y_pred,y_proba,target_date,runtime,model_version,test
6d72ecd0,2021-04-18 20:08:05.857277,United States,1,0.9,2021-04-18,012:10:15,1.0,True
feaf5681,2021-04-18 21:21:31.542874,United States,1,0.9,2018-01-01,012:10:15,1.0,True
02b1615d,2021-04-18 21:37:32.449418,United States,1,0.9,2018-01-01,012:10:15,1.0,True
4f7a9d29,2021-04-18 21:38:50.037799,United States,1,0.9,2018-01-01,012:10:15,1.0,True
52cb54fb,2021-04-18 21:53:47.746334,United States,1,0.9,2018-01-01,012:10:15,1.0,True
f2277433,2021-04-18 21:54:19.134293,united_kingdom,[168685.19433333],None,2018-01-01,000:00:31,0.1,False
cb347938,2021-04-18 21:55:21.915347,United States,1,0.9,2018-01-01,012:10:15,1.0,True
77d452b2,2021-04-18 21:55:49.369122,united_kingdom,[168685.19433333],None,2018-01-01,000:00:27,0.1,False
f7ec4353,2021-04-18 21:56:37.785578,United States,1,0.9,2018-01-01,012:10:15,1.0,True
aca9cfc6,2021-04-18 21:57:04.872318,united_kingdom,[168685.19433333],None,2018-01-01,000:00:27,0.1,False
b24abf77,2021-04-18 22:11:56.768907,united_kingdom,[168685.19433333],None,2018-01-01,000:00:31,0.1,False
225e9146,2021-04-18 22:14:19.549261,united_kingdom,[168685.19433333],None,2018-01-01,000:00:31,0.1,False
9df1a0ef,2021-04-18 22:17:18.039831,united_kingdom,[168685.19433333],None,2018-01-01,000:00:32,0.1,False
0b962c4f,2021-04-18 22:18:06.427826,united_kingdom,[168685.19433333],None,2018-01-01,000:00:33,0.1,False
e0d4ad10,2021-04-18 22:38:29.888180,united_kingdom,[168685.19433333],None,2018-01-01,000:00:36,0.1,False
ccd86cfb,2021-04-18 22:39:29.050271,united_kingdom,[168685.19433333],None,2018-01-01,000:00:31,0.1,False
708801f7,2021-04-18 22:40:51.803278,united_kingdom,[168685.19433333],None,2018-01-01,000:00:31,0.1,False
475d1127,2021-04-18 22:45:54.639667,united_kingdom,[168685.19433333],None,2018-01-01,000:00:31,0.1,False
e1419117,2021-04-18 22:47:03.053752,united_kingdom,[168685.19433333],None,2018-01-01,000:00:30,0.1,False
ad9c8e01,2021-04-18 22:48:26.227994,United States,1,0.9,2018-01-01,012:10:15,1.0,True
1f633561,2021-04-18 22:48:54.655073,united_kingdom,[168685.19433333],None,2018-01-01,000:00:28,0.1,False
